Freq.	V(in)	V(out)
1.41253754462275e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.89636028806231e+001dB,-8.99354431129732e+001°)
1.58489319246110e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-5.99636017466605e+001dB,-8.99424636088667e+001°)
1.77827941003891e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.09636008459217e+001dB,-8.99487206338805e+001°)
1.99526231496887e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.19636001304393e+001dB,-8.99542972143293e+001°)
2.23872113856832e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.29635995621114e+001dB,-8.99592673476189e+001°)
2.51188643150956e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.39635991106724e+001dB,-8.99636969840948e+001°)
2.81838293126443e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.49635987520817e+001dB,-8.99676449021269e+001°)
3.16227766016836e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.59635984672429e+001dB,-8.99711634880367e+001°)
3.54813389233573e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.69635982409874e+001dB,-8.99742994312139e+001°)
3.98107170553494e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.79635980612662e+001dB,-8.99770943436429e+001°)
4.46683592150960e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.89635979185086e+001dB,-8.99795853120595e+001°)
5.01187233627269e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-6.99635978051123e+001dB,-8.99818053900629e+001°)
5.62341325190345e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.09635977150383e+001dB,-8.99837840367125e+001°)
6.30957344480188e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.19635976434900e+001dB,-8.99855475074279e+001°)
7.07945784384133e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.29635975866572e+001dB,-8.99871192023806e+001°)
7.94328234724275e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.39635975415133e+001dB,-8.99885199769980e+001°)
8.91250938133739e+004	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.49635975056542e+001dB,-8.99897684187015e+001°)
1.00000000000000e+005	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.59635974771704e+001dB,-8.99908810935492e+001°)
