Freq.	V(in)	V(out)
3.16227766016837e+002	1.00000000000000e+000,0.00000000000000e+000	2.52662956360820e-003,-5.02020488292709e-002
3.54813389233574e+002	1.00000000000000e+000,0.00000000000000e+000	2.00801667970679e-003,-4.47658859928049e-002
3.98107170553496e+002	1.00000000000000e+000,0.00000000000000e+000	1.59568334948118e-003,-3.99141221139757e-002
4.46683592150961e+002	1.00000000000000e+000,0.00000000000000e+000	1.26791245057007e-003,-3.55851773718743e-002
5.01187233627270e+002	1.00000000000000e+000,0.00000000000000e+000	1.00740136251955e-003,-3.17235953986043e-002
5.62341325190347e+002	1.00000000000000e+000,0.00000000000000e+000	8.00373178482598e-004,-2.82795435121885e-002
6.30957344480191e+002	1.00000000000000e+000,0.00000000000000e+000	6.35863686154175e-004,-2.52083193316573e-002
7.07945784384135e+002	1.00000000000000e+000,0.00000000000000e+000	5.05150542535391e-004,-2.24698768457855e-002
7.94328234724278e+002	1.00000000000000e+000,0.00000000000000e+000	4.01297031559034e-004,-2.00283796711440e-002
8.91250938133742e+002	1.00000000000000e+000,0.00000000000000e+000	3.18787873985035e-004,-1.78517855766989e-002
9.99999999999995e+002	1.00000000000000e+000,0.00000000000000e+000	2.53238812965162e-004,-1.59114638883030e-002
1.12201845430196e+003	1.00000000000000e+000,0.00000000000000e+000	2.01165216770266e-004,-1.41818457658313e-002
1.25892541179416e+003	1.00000000000000e+000,0.00000000000000e+000	1.59797823001020e-004,-1.26401063150902e-002
1.41253754462275e+003	1.00000000000000e+000,0.00000000000000e+000	1.26936094526216e-004,-1.12658768746211e-002
1.58489319246111e+003	1.00000000000000e+000,0.00000000000000e+000	1.00831556314450e-004,-1.00409854751265e-002
1.77827941003891e+003	1.00000000000000e+000,0.00000000000000e+000	8.00950131584960e-005,-8.94922331531419e-003
1.99526231496887e+003	1.00000000000000e+000,0.00000000000000e+000	6.36227784884254e-005,-7.97613506847037e-003
2.23872113856833e+003	1.00000000000000e+000,0.00000000000000e+000	5.05380306357741e-005,-7.10883088441648e-003
2.51188643150957e+003	1.00000000000000e+000,0.00000000000000e+000	4.01442019300654e-005,-6.33581805082160e-003
2.81838293126444e+003	1.00000000000000e+000,0.00000000000000e+000	3.18879363371911e-005,-5.64685040502290e-003
3.16227766016836e+003	1.00000000000000e+000,0.00000000000000e+000	2.53296543029459e-005,-5.03279372829434e-003
3.54813389233573e+003	1.00000000000000e+000,0.00000000000000e+000	2.01201644065375e-005,-4.48550549944170e-003
