time	V(vin)	V(vout)	I(R1)
1.050599239995311e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.051623239995216e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.052647239995121e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.053671239995026e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.054695239994931e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.055719239994836e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.056743239994742e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.057767239994647e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.058791239994552e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.059815239994457e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.060839239994362e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.061863239994267e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.062887239994172e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.063911239994077e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.064935239993982e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.065959239993887e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.066983239993793e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.068007239993698e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.069031239993603e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.070055239993508e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.071079239993413e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.072103239993318e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.073127239993223e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.074151239993128e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.075175239993033e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.076199239992938e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.077223239992844e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.078247239992749e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.079271239992654e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.080295239992559e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.081319239992464e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.082343239992369e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.083367239992274e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.084391239992179e-003	2.000000e+001	2.000000e+000	2.000000e-004
1.085415239992084e-003	2.000000e+001	2.000000e+000	2.000000e-004
